Percentage of School Cases from 2020-09-10 - 2021-03-29
Date,Percentage
2020-09-10,0.03
2020-09-11,0.03
2020-09-14,0.06
2020-09-15,0.09
2020-09-16,0.14
2020-09-17,0.16
2020-09-18,0.19
2020-09-21,0.30
2020-09-22,0.37
2020-09-23,0.43
2020-09-24,0.49
2020-09-25,0.55
2020-09-28,0.60
2020-09-29,0.66
2020-09-30,0.85
2020-10-01,0.91
2020-10-02,1.00
2020-10-05,1.10
2020-10-06,1.29
2020-10-07,1.44
2020-10-08,1.52
2020-10-09,1.62
2020-10-13,1.69
2020-10-14,1.84
2020-10-15,1.97
2020-10-16,2.05
2020-10-19,2.16
2020-10-20,2.35
2020-10-21,2.42
2020-10-22,2.47
2020-10-23,2.54
2020-10-26,2.64
2020-10-27,2.74
2020-10-28,2.83
2020-10-29,2.88
2020-10-30,2.93
2020-11-02,2.99
2020-11-03,3.10
2020-11-04,3.14
2020-11-05,3.20
2020-11-06,3.25
2020-11-09,3.28
2020-11-10,3.45
2020-11-11,3.50
2020-11-12,3.57
2020-11-13,3.62
2020-11-16,3.60
2020-11-17,3.67
2020-11-18,3.70
2020-11-19,3.73
2020-11-20,3.74
2020-11-23,3.87
2020-11-24,3.91
2020-11-25,3.93
2020-11-26,3.97
2020-11-27,4.00
2020-11-30,4.08
2020-12-01,4.14
2020-12-02,4.18
2020-12-03,4.22
2020-12-04,4.26
2020-12-07,4.34
2020-12-08,4.41
2020-12-09,4.45
2020-12-10,4.51
2020-12-11,4.54
2020-12-14,4.57
2020-12-15,4.62
2020-12-16,4.66
2020-12-17,4.68
2020-12-18,4.70
2021-01-11,3.26
2021-01-12,3.21
2021-01-13,3.17
2021-01-14,3.13
2021-01-15,3.09
2021-01-18,3.00
2021-01-19,2.97
2021-01-20,2.94
2021-01-21,2.91
2021-01-22,2.88
2021-01-25,2.83
2021-01-26,2.81
2021-01-27,2.79
2021-01-28,2.77
2021-01-29,2.75
2021-02-01,2.72
2021-02-02,2.71
2021-02-03,2.69
2021-02-04,2.68
2021-02-05,2.67
2021-02-08,2.65
2021-02-09,2.65
2021-02-10,2.65
2021-02-11,2.64
2021-02-12,2.64
2021-02-16,2.63
2021-02-17,2.65
2021-02-18,2.66
2021-02-19,2.73
2021-02-22,2.76
2021-02-23,2.79
2021-02-24,2.80
2021-02-25,2.82
2021-02-26,2.85
2021-03-01,2.90
2021-03-02,2.94
2021-03-03,2.96
2021-03-04,2.98
2021-03-05,2.99
2021-03-08,3.05
2021-03-09,3.09
2021-03-10,3.12
2021-03-11,3.15
2021-03-12,3.16
2021-03-15,3.24
2021-03-16,3.28
2021-03-17,3.31
2021-03-18,3.33
2021-03-19,3.36
2021-03-22,3.43
2021-03-23,3.48
2021-03-24,3.51
2021-03-25,3.54
2021-03-26,3.58
