Employment Summary for 2020-01 - 2021-02
Date,Type,Percentage
2020-01,Full time,50.18
2020-01,Part time,11.60
2020-01,Unemployed,3.68
2020-02,Full time,50.26
2020-02,Part time,11.55
2020-02,Unemployed,3.70
2020-03,Full time,48.70
2020-03,Part time,9.84
2020-03,Unemployed,5.02
2020-04,Full time,43.90
2020-04,Part time,8.18
2020-04,Unemployed,7.88
2020-05,Full time,44.70
2020-05,Part time,8.33
2020-05,Unemployed,8.42
2020-06,Full time,46.27
2020-06,Part time,9.75
2020-06,Unemployed,7.97
2020-07,Full time,46.53
2020-07,Part time,10.78
2020-07,Unemployed,7.03
2020-08,Full time,47.05
2020-08,Part time,10.91
2020-08,Unemployed,6.61
2020-09,Full time,47.92
2020-09,Part time,11.18
2020-09,Unemployed,5.97
2020-10,Full time,48.07
2020-10,Part time,11.29
2020-10,Unemployed,5.89
2020-11,Full time,48.38
2020-11,Part time,11.11
2020-11,Unemployed,5.59
2020-12,Full time,48.50
2020-12,Part time,10.79
2020-12,Unemployed,5.69
2021-01,Full time,48.51
2021-01,Part time,10.07
2021-01,Unemployed,6.09
2021-02,Full time,48.76
2021-02,Part time,10.61
2021-02,Unemployed,5.33
